article_text,article_link,collected_at
FBI arrests Wisconsin judge and accuses her of obstructing immigration officials,/us-news/2025/apr/25/judge-hannah-dugan-milwaukee-arrest,2025-04-26 04:50:25.198674
"Virginia Giuffre, who accused Jeffrey Epstein of sexual abuse, dies aged 41",/us-news/2025/apr/26/virginia-giuffre-suicide-dead-aged-41,2025-04-26 04:50:25.199112
"Son of CIA deputy director was killed while fighting for Russia, report says",/us-news/2025/apr/25/michael-alexander-gloss-cia-russia,2025-04-26 04:50:25.199158
US restoring legal status of hundreds of students after abruptly revoking visas,/us-news/2025/apr/25/student-visa-legal-status-restored,2025-04-26 04:50:25.199175
Royals and refugees to come together in Rome for funeral of Pope Francis,/world/2025/apr/26/royals-and-refugees-to-come-together-in-rome-for-funeral-of-pope-francis,2025-04-26 04:50:25.199191
California proposes to allow testing of driverless heavy-duty trucks,/us-news/2025/apr/25/california-self-driving-truck-testing-proposal,2025-04-26 04:50:25.199209
Sanders still available as stunning plunge continues,/sport/2025/apr/25/shedeur-sanders-nfl-draft,2025-04-26 04:50:25.199225
Luigi Mangione pleads not guilty in federal court to murdering healthcare CEO,/us-news/2025/apr/25/luigi-mangione-federal-court-hearing,2025-04-26 04:50:25.199253
US consumer sentiment sees largest drop since 1990 after Trump tariff chaos,/us-news/2025/apr/25/trump-tariffs-trade-war-consumer-sentiment,2025-04-26 04:50:25.199271
Archaeologists find wreck of large medieval boat in Barcelona,/science/2025/apr/25/archaeologists-find-wreck-of-large-medieval-boat-in-barcelona,2025-04-26 04:50:25.199289
Battle with judiciary escalates as FBI arrests county judge,/us-news/2025/apr/26/president-trump-administration-news-updates-today,2025-04-26 04:50:25.199306
Pope’s funeral a diplomatic minefield as Trump sets fire to US alliances,/us-news/2025/apr/25/trump-pope-funeral-diplomacy,2025-04-26 04:50:25.199324
‘You saw he was listening to you’: people Pope Francis met in their hour of need,/world/2025/apr/26/you-saw-he-was-listening-to-you-people-pope-francis-met-in-their-hour-of-need,2025-04-26 04:50:25.199346
"The new rules of gym etiquette: don’t film yourself, never mansplain – and keep your top on",/lifeandstyle/2025/apr/25/new-rules-of-gym-etiquette,2025-04-26 04:50:25.199369
"How to save every tired TV superfranchise, from Star Wars to Game of Thrones",/tv-and-radio/2025/apr/25/may-the-force-be-with-you-how-to-save-every-tired-tv-superfranchise-from-star-wars-to-game-of-thrones,2025-04-26 04:50:25.199388
Jimmy Kimmel on Hegseth bringing his wife to meetings: ‘Maybe she’s his designated driver’,/culture/2025/apr/25/jimmy-kimmel-pete-hegseth-wife-meetings,2025-04-26 04:50:25.199406
"‘A sweeping catastrophe’: 20 years after Hurricane Katrina, a photo exhibit honors Mississippi victims",/us-news/2025/apr/25/hurricane-katrina-mississippi-remembers-photo-exhibit,2025-04-26 04:50:25.199421
"Fedoras, Venables and Pardew’s dance – Crystal Palace closer to holy grail of first trophy",/football/2025/apr/25/fedoras-venables-and-pardews-dance-crystal-palace-closer-to-holy-grail-of-first-trophy,2025-04-26 04:50:25.199438
"Standing on her shoulders, I was impressed she could bear my weight",/lifeandstyle/2025/apr/26/the-moment-i-knew-standing-on-her-shoulders-i-was-impressed-she-could-bear-my-weight,2025-04-26 04:50:25.199455
"Brace yourselves, the Ice Bucket Challenge is back",/society/2025/apr/25/ice-bucket-challenge-social-media-mental-health,2025-04-26 04:50:25.199470
‘Protect the Dolls’ T-shirt becomes a fashion symbol for trans rights ,/fashion/2025/apr/25/protect-the-dolls-t-shirt-fashion-symbol-trans-rights,2025-04-26 04:50:25.199485
Why is Yale University implicitly endorsing Israeli extremist Ben-Gvir?,/commentisfree/2025/apr/25/itamar-ben-gvir-yale-shabtai-israel,2025-04-26 04:50:25.199502
Why does RFK Jr want to put my family on an ‘autism registry’?,/commentisfree/2025/apr/25/rfk-jr-autism-registry,2025-04-26 04:50:25.199517
Trump’s transactional instincts could help forge a new Iran nuclear deal,/commentisfree/2025/apr/25/trump-iran-nuclear-deal,2025-04-26 04:50:25.199533
Want to beat authoritarianism? Look to Latin America,/commentisfree/2025/apr/25/authoritarianism-latin-america-trump,2025-04-26 04:50:25.199550
The Guardian view on Trump v universities: essential institutions must defend themselves,/commentisfree/2025/apr/25/the-guardian-view-on-trump-v-universities-essential-institutions-must-defend-themselves,2025-04-26 04:50:25.199567
"In Kyiv, we don’t believe in the fantasy of Trump’s ‘peace deal’. Our reality is more dead civilians ",/commentisfree/2025/apr/25/ukraine-kyiv-donald-trump-peace-deal-vladimir-putin,2025-04-26 04:50:25.199582
