video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=pSGqwBll_q0&pp=ygUMY3JlYXRpdmUgR0lT,/@Mapdiva,Mapdiva,Ortelius 2 ● Ortelius Isn't GIS - It’s a creativity app for mapping. Here’s the difference.,919,7 years,Ortelius 2 introduces new shapefile support for advanced users. Ortelius 2 creative map design software for Mac.,2025-04-23 03:14:53.636916
/watch?v=PZ_mPKzHvIk&pp=ygUMY3JlYXRpdmUgR0lT0gcJCX4JAYcqIYzv,/@EsriEvents,Esri Events,ArcGIS Maps for Adobe Creative Cloud: An Introduction,1.7K,5 years,An introduction to the ArcGIS plugin for Adobe's design applications. Learn how to add maps and layers directly into Illustrator and ...,2025-04-23 03:14:53.639459
/watch?v=xVUQBYS788o&pp=ygUMY3JlYXRpdmUgR0lT,/@uwlibraries,University of Washington Libraries,"Engaging with Creative Geovisualization: Imagining Creativity in Mapping and GIS, Dr. Jin-Kyu Jung",153,3 years,"This talk was given on April 6, 2021 as a part of TEAL Digital Scholarship for East Asian Studies series. This series is ...",2025-04-23 03:14:53.641272
/watch?v=PqwPZUdZctY&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,ArcGIS Maps for Adobe Creative Cloud: An Introduction,1.3K,6 years,An introduction to the ArcGIS plugin for Adobe's design applications. Learn how to add maps and layers directly into Illustrator and ...,2025-04-23 03:14:53.649042
/watch?v=1CKzDxEievg&pp=ygUMY3JlYXRpdmUgR0lT,/@milos-makes-maps,Milos Makes Maps,5 Amazing GIS Project Ideas You Must Try in 2025!,4.1K,3 months,Ready to take your GIS skills to the next level in 2025? This video walks you through 5 exciting GIS project ideas that you can ...,2025-04-23 03:14:53.651078
/watch?v=aW04zm2uRf8&pp=ygUMY3JlYXRpdmUgR0lT0gcJCX4JAYcqIYzv,/@EsriEvents,Esri Events,ArcGIS Maps for Adobe Creative Cloud: An Introduction,6.7K,8 years,An introduction to the ArcGIS plugin for Adobe's design applications. Learn how to add maps and layers directly into Illustrator and ...,2025-04-23 03:14:53.652946
/watch?v=GvA9d2ld4m8&pp=ygUMY3JlYXRpdmUgR0lT,/@JohnNelsonMaps,John Nelson Maps,Map Choreography: How to make an ArcGIS StoryMap sing and dance,15K,2 years,An ArcGIS StoryMap is just a great way to present a geographic narrative. Here's some advice about how to set up a scene in a ...,2025-04-23 03:14:53.654206
/watch?v=J7Z1k4Vrve8&pp=ygUMY3JlYXRpdmUgR0lT,/@nacis7166,NACIS,"How to Improve Your GIS to Graphic Design Workflow - Julia Olson and Sarah Bell, Esri",450,5 months,"How to Improve Your GIS to Graphic Design Workflow Julia Olson and Sarah Bell, Esri Many cartographers start their maps in a ...",2025-04-23 03:14:53.655917
/watch?v=ujZFPCxmzo4&pp=ygUMY3JlYXRpdmUgR0lT0gcJCX4JAYcqIYzv,/@viewprogis,ViewPro GIS,Transportation Corridor: Creative use of GIS using  @twinmotion @CityEngineTV @arcgisurban6365,75,10 months,"Like many urban areas, this transportation corridor faced the issue of fragmented development patterns and outdated zoning ...",2025-04-23 03:14:53.667914
/watch?v=wxCHvb_bbw4&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Pro to Adobe Illustrator | Time-Saving Cartography Tools in ArcGIS Maps for Adobe,39K,4 years,Join Esri cartographers Sarah Bell and Anna Breton to learn how you can use ArcGIS Maps for Adobe Creative Cloud 2.0 to ...,2025-04-23 03:14:53.675133
/watch?v=K5OGg_KUkN8&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,Get Creative!,88,3 years,"Creative strategies help educators leverage the power of GIS in unusual settings. Limits to field trips, online only classes, and old ...",2025-04-23 03:14:53.682892
/watch?v=p1mghz5ukZQ&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,Introducing ArcGIS Maps for Adobe Creative Cloud,30K,7 years,"Esri's ArcGIS platform applies The Science of Where™ to connect everyone, everywhere through a common visual language.",2025-04-23 03:14:53.686444
/watch?v=mbZtl510rbs&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,ArcGIS Maps for Adobe Creative Cloud: Design with Data-Driven Maps,2.9K,6 years,Compile maps using ArcGIS hosted content or your own local data. Visualize the data to create stunning maps that allow you to ...,2025-04-23 03:14:53.691674
/watch?v=aZBtlvi6COQ&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,ArcGIS Maps for Adobe Creative Cloud: An Introduction,12K,6 years,An introduction to the ArcGIS plugin for Adobe's design applications. Learn how to add maps and layers directly into Illustrator and ...,2025-04-23 03:14:53.697657
/watch?v=mOh8-svRPyk&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,Visualization Team Crunches Time with ArcGIS Maps for Adobe Creative Cloud,577,4 years,"Moffatt & Nichol, a mid-sized engineering and infrastructure advisory firm, serves clients in the marine terminal, transportation, ...",2025-04-23 03:14:53.699481
/watch?v=GWQDhsO1ZZw&pp=ygUMY3JlYXRpdmUgR0lT,/@RoelVandePaar,Roel Van de Paar,GIS: Seeking examples of Creative Cartography?,2,3 years,GIS: Seeking examples of Creative Cartography? Helpful? Please support me on Patreon: ...,2025-04-23 03:14:53.700818
/watch?v=f6lB37qnaeo&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS Maps for Adobe Creative Cloud 2.0,1.8K,4 years,New features: Integration with ArcGIS Pro Adobe Illustrator Exchange (AIX) file - With the 2.5 release of ArcGIS Pro introduced a ...,2025-04-23 03:14:53.702473
/watch?v=dDJumDtUkNg&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Using Processes & Custom Libraries,2.2K,7 years,"The ArcGIS Maps for Adobe Creative Cloud extension comes with free symbol, swatch, and brush libraries. You no longer need to ...",2025-04-23 03:15:01.724121
/watch?v=k_w45-bFuE0&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriAustralia,Esri Australia,ArcGIS Maps for Adobe Creative Cloud,242,4 years,"Discover how to create an exciting narrative through unique visual designs by pulling maps layers as vector files, or image artwork ...",2025-04-23 03:15:01.726192
/watch?v=TKrS493X_Bg&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Pro Thematic Map Series Tutorial,2.9K,11 months,Learn how to make thematic map series in ArcGIS Pro. Learn more about Esri & ArcGIS: Website: https://www.esri.com ...,2025-04-23 03:15:01.727875
/watch?v=BupXUnlncxA&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS® Maps for Adobe® Creative Cloud® 1.4,1.5K,5 years,This video is a preview of features and capabilities introduced at version 1.4 of ArcGIS Maps for Adobe Creative Cloud. Here we ...,2025-04-23 03:15:01.730613
