video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=khZMzAZNC28&pp=ygUMZGVlcCBtYXBwaW5n,/@IDIALabBSU,IDIA Lab: Institute for Digital Intermedia Arts,IDIA Lab Deep Mapping Projects,605,2 years,"Deep Mapping Middletown is an intensive investigation of Muncie, Indiana, that employs techniques derived from literary study, ...",2025-04-23 03:23:30.465671
/watch?v=qIWffJrkC-I&pp=ygUMZGVlcCBtYXBwaW5n,/@utaustinihs,"Institute for Historical Studies, UT Austin","""Spatial Humanities & Deep Mapping"" Talk by Dr. Ian Gregory, Lancaster University",217,1 year,"Talk: ""Spatial Humanities and Deep Mapping: New Approaches to Understanding the Historical Geographies of the English Lake ...",2025-04-23 03:23:30.467808
/watch?v=yhFg7zhYwbo&pp=ygUMZGVlcCBtYXBwaW5n,/@dublinportco,Dublin Port,Transit Gateway: A Deep Mapping of Dublin Port by Silvia Loeffler - Port Perspectives Series,489,7 years,As part of our Port Perspective Series the work of artist Dr. Silvia Loeffler will unfold in a number of phases during the summer of ...,2025-04-23 03:23:30.469168
/watch?v=Lam6cZDSH-g&pp=ygUMZGVlcCBtYXBwaW5n0gcJCX4JAYcqIYzv,/@internationalvirtualeptalk1344,International Virtual EP Talks,Dr. Andreu Porta Sanchez- DEEP mapping for substrate VT ablation,1.9K,4 years,DEEP mapping for substrate VT ablation.,2025-04-23 03:23:30.471184
/watch?v=vPQt2aWZYaE&pp=ygUMZGVlcCBtYXBwaW5n,/@paularoush,MSDM House-Studio-Gallery,"Follow y/our river: a manual for deep mapping in the Lower Lea Valley,",68,1 year,Follow y/our river: a manual for deep mapping in the Lower Lea Valley paula roush and tamara stoll with Y2 Photography at ...,2025-04-23 03:23:30.472572
/watch?v=eUUhiA21UyY&pp=ygUMZGVlcCBtYXBwaW5n,/@uottawageg-env3491,uOttawa GEG-ENV,Deep Mapping by Dr. M. C. Sawada,114,4 years,"Professor Dr. Michael Sawada is a member of the Department of Geography, Environment & Geomatics. He specializes in applied ...",2025-04-23 03:23:30.476578
/watch?v=clKZeFVeOns&pp=ygUMZGVlcCBtYXBwaW5n,/@MuseumofArtandPhotography,Museum of Art and Photography,Deep Mapping - Psychogeography 👣,767,2 years,Here's a glimpse into a not-so-typical Saturday morning event we hosted in collaboration with The Reading Room! A deep ...,2025-04-23 03:23:30.477994
/watch?v=M9LxFd3JTaM&pp=ygUMZGVlcCBtYXBwaW5n,/@historicalenvironmentsspat921,Historical Environments Spatial Analytics Lab- MTU,Scoping a Deep Mapping Project - NEH Community Deep Mapping Virtual Workshop,10,1 month,This is part of the NEH Community Deep Mapping Virtual Workshop Series. The central aim of this Institute is to expand the scope ...,2025-04-23 03:23:30.479370
/watch?v=ZQPjpYoK2Lw&pp=ygUMZGVlcCBtYXBwaW5n,/@UniverseBoundless,Boundless Universe,They Finally Mapped the Milky Way – And It Changes Everything,241,2 days,"NASA and ESA Just Mapped the Milky Way and this is the most detailed map of our galaxy ever released In this video, we explore ...",2025-04-23 03:23:30.481366
/watch?v=9jRh07D37V8&pp=ygUMZGVlcCBtYXBwaW5n,/@buildingcitydashboards8420,Building City Dashboards,Deep Mapping,241,3 years,Digital technologies enable us to capture large amounts of information as data. In this project we take a different approach to ...,2025-04-23 03:23:30.482624
